"143","9","","Curtis Samuel","CAR","WR57","13","75","232","145.4","29.7","162.0","+19.0"
"144","9","","Jack Doyle","IND","TE18","7","78","211","148.5","20.4","164.0","+20.0"
"145","9","","Blake Jarwin","DAL","TE19","10","78","258","143.5","25.4","181.0","+36.0"
"146","9","","Boston Scott","PHI","RB50","9","85","236","150.0","27.1","157.0","+11.0"
"147","9","","N'Keal Harry","NE","WR58","6","64","273","150.8","34.4","148.0","+1.0"
"148","9","","Kirk Cousins","MIN","QB21","7","83","250","151.4","23.1","123.0","-25.0"
"149","9","","San Francisco (SF)","","DST1","11","73","323","144.1","22.9","126.0","-23.0"
"150","9","","DeSean Jackson","PHI","WR59","9","36","244","150.5","34.9","153.0","+3.0"
"151","9","","Pittsburgh (PIT)","","DST2","8","59","230","146.3","13.3","136.0","-15.0"
"152","9","","Eric Ebron","PIT","TE20","8","94","241","149.6","24.4","156.0","+4.0"
"153","10","","Baltimore (BAL)","","DST3","8","62","183","150.9","9.9","138.0","-15.0"
"154","10","","Jimmy Garoppolo","SF","QB22","11","56","241","159.5","26.8","140.0","-14.0"
"155","10","","Sammy Watkins","KC","WR60","10","89","198","154.5","20.4","130.0","-25.0"
"156","10","","Gardner Minshew II","JAC","QB23","7","75","254","162.8","29.9","191.0","+35.0"
"157","10","","Chase Edmonds","ARI","RB51","8","80","273","165.8","30.2","149.0","-8.0"
"158","10","","Philip Rivers","IND","QB24","7","87","283","168.5","26.0","147.0","-11.0"
"159","10","","Drew Lock","DEN","QB25","8","79","275","167.0","27.5","152.0","-7.0"
"160","10","","Chris Herndon IV","NYJ","TE21","11","94","304","166.4","34.7","197.0","+37.0"
"161","10","","Buffalo (BUF)","","DST4","11","68","213","163.3","13.1","141.0","-20.0"
"162","10","","New England (NE)","","DST5","6","76","234","162.3","19.2","142.0","-20.0"
"163","10","","Nyheim Hines","IND","RB52","7","98","273","173.6","28.4","171.0","+8.0"
"164","10","","Michael Pittman Jr.","IND","WR61","7","55","349","163.8","46.0","174.0","+10.0"
"165","10","","Adrian Peterson","WAS","RB53","8","118","310","169.0","30.6","160.0","-5.0"
"166","10","","Teddy Bridgewater","CAR","QB26","13","72","275","178.7","32.2","179.0","+13.0"
"167","10","","Alshon Jeffery","PHI","WR62","9","64","268","169.3","41.8","119.0","-48.0"
"168","10","","Justin Tucker","BAL","K1","8","88","184","172.9","10.1","159.0","-9.0"
"169","10","","Brandon Aiyuk","SF","WR63","11","86","345","165.6","43.0","215.0","+46.0"
